depth,gamma
2700.0203,47.6563
2700.187,50.7362
2700.3536, 50.841
2700.5203, 45.5122
2700.687, 41.9408
2700.8536, 39.9073
2701.0203, 38.2606
2701.187, 37.3526
2701.3536, 33.1353
2701.5203, 39.5488
2701.687, 41.7413
2701.8536, 46.597
2702.0203, 43.3631
2702.187, 48.8917
2702.3536, 50.5682
2702.687, 46.8338
2702.8536, 46.6725
2703.0203, 42.3094
2703.187, 49.4579
2703.3536, 48.9782
2703.5203, 52.8143
2703.687, 49.2189
2703.8536, 54.3562
2704.0203, 51.7804
2704.187, 50.0662
2704.3536, 45.3286
2704.5203, 46.8209
2704.687, 46.2466
2704.8536, 42.9376
2705.0203, 35.4942
2705.187, 40.1265
2705.3536, 42.9399
2705.5203, 48.9791
2705.687, 51.2355
2705.8536, 51.7988
2706.0203, 48.5946
2706.187, 39.989
2706.3536, 37.281
2706.5203, 38.8361
2706.687, 40.8497
2706.8536, 39.4433
2707.0203, 37.3621
2707.187, 38.6957
2707.3536, 44.0818
2707.5203, 45.851
2707.687, 46.6685
2707.8536, 44.8242
2708.0203, 46.3909
2708.187, 47.2217
2708.3536, 44.3864
2708.5203, 41.6455
2708.687, 39.5228
2708.8536, 43.2201
2709.0203, 44.1094
2709.187, 45.8617
2709.3536, 42.0961
2709.5203, 39.5134
2709.687, 41.6174
2709.8536, 43.9672
2710.0203, 48.1497
2710.187, 48.8499
2710.3536, 49.521
2710.5203, 49.3393
2710.687, 45.6472
2710.8536, 42.803
2711.0203, 40.7527
2711.187, 39.8626
2711.3536, 40.5873
2711.5203, 41.7133
2711.687, 45.824
2711.8536, 47.8087
2712.0203, 48.7312
2712.187, 42.7105
2712.3536, 41.155
2712.5203, 42.7742
2712.687, 50.1086
2712.8536, 50.0829
2713.0203, 47.8343
2713.187, 41.2063
2713.3536, 40.0366
2713.5203, 41.51
2713.687, 43.2824
2713.8536, 45.1486
2714.0203, 42.6527
2714.187, 39.0197
2714.3536, 35.7066
2714.5203, 39.109
2714.687, 47.0429
2714.8536, 52.1768
2715.0203, 50.7107
2715.187, 48.1482
2715.3536, 50.1129
2715.5203, 51.8301
2715.687, 46.7784
2715.8536, 40.7736
